Wall time,Step,Value
1498617383.435002,11970,1.1418253183364868
1498617385.8850205,11975,1.1255877017974854
1498617420.002671,12011,1.1498565673828125
1498617434.869329,12042,1.132373571395874
1498617481.5597997,12139,1.13836669921875
1498617494.0968256,12165,1.081024169921875
1498617503.7403717,12185,1.1215795278549194
1498617523.9824476,12227,1.1048628091812134
1498617554.8798518,12291,1.119172215461731
1498617610.3121705,12406,1.1076991558074951
1498617635.9660437,12459,1.1289311647415161
1498617739.7795866,12672,1.1577869653701782
1498617753.4098153,12700,1.1185122728347778
1498617839.7717476,12878,1.0894763469696045
1498617870.0446634,12940,1.1184200048446655
1498617908.3477247,13018,1.1656444072723389
1498617916.593958,13035,1.1082978248596191
1498617929.7127807,13062,1.112678050994873
1498617939.9054909,13083,1.0889726877212524
1498617945.733479,13095,1.1198595762252808
1498617952.9786716,13110,1.1077090501785278
1498618016.0819256,13240,1.1235606670379639
1498618094.6622999,13403,1.1067390441894531
1498618096.6134858,13407,1.0886260271072388
1498618143.9288692,13505,1.0878883600234985
1498618164.394614,13547,1.0822499990463257
1498618189.2718382,13598,1.1019060611724854
1498618200.493564,13621,1.1494896411895752
1498618229.5101645,13680,1.0901758670806885
1498618230.9676487,13683,1.1350159645080566
1498618293.0254722,13811,1.1281681060791016
1498618310.0669522,13846,1.0947593450546265
1498618329.1204295,13885,1.0902132987976074
1498618441.8212967,14081,1.0927398204803467
1498618509.7816718,14222,1.047736644744873
1498618541.5307324,14288,1.1587672233581543
1498618544.8978727,14295,1.1207244396209717
1498618557.38296,14321,1.0887868404388428
1498618566.0499098,14339,1.0788990259170532
1498618594.4976625,14398,1.10833740234375
1498618618.7411537,14448,1.1144332885742188
1498618708.6976662,14633,1.0906795263290405
1498618711.5883036,14639,1.0853468179702759
1498618726.0891683,14669,1.1025817394256592
1498618730.417195,14678,1.1019816398620605
1498618735.2295568,14688,1.0904568433761597
1498618779.7552257,14780,1.061834454536438
1498618784.1062822,14789,1.065597653388977
1498618794.3132646,14810,1.092379093170166
1498618825.350695,14874,1.117471694946289
1498618834.5742612,14893,1.105706810951233
1498618930.730477,15091,1.0804259777069092
1498618952.9296558,15137,1.0895490646362305
1498618974.2955005,15181,1.0935649871826172
1498619016.13675,15267,1.08310866355896
1498619044.0590594,15325,1.0765767097473145
1498619115.906542,15474,1.0880990028381348
1498619116.8905945,15476,1.1134220361709595
1498619132.4800081,15508,1.1215591430664062
1498619147.6462,15539,1.064662218093872
1498619245.8245914,15741,1.0648332834243774
1498619257.4773781,15765,1.086359977722168
1498619261.8484843,15774,1.0754400491714478
1498619288.3573804,15829,1.1076643466949463
1498619368.06972,15994,1.0844919681549072
1498619433.9116178,16096,1.0780375003814697
